UID,大类,小类,关注视频log2归一化
,155,159,0
,160,160,0
,160,161,0
,160,162,0.052511088
,234,164,0.049443849
,167,167,0
,167,168,0
,167,169,0
,167,170,0
,4,171,0
,4,172,0
,4,173,0.032024062
,223,176,0.013792013
,177,177,0
,177,178,0.021859823
,177,179,0
,177,180,0
,181,181,0
,181,182,0
,181,183,0.021859823
,181,184,0.013792013
,11,185,0
,11,187,0
,188,188,0
,155,192,0
,3,193,0.027584026
,3,194,0
,167,195,0
,129,198,0
,129,199,0
,129,200,0
,36,201,0.243443532
,202,202,0
,202,203,0
,202,204,0
,202,205,0
,202,206,0
,36,207,0.071303672
,36,208,1
,36,209,0.035651836
,1,210,0
,211,211,0
,211,212,0
,211,213,0.013792013
,211,214,0
,211,215,0.035651836
,119,216,0
,217,217,0
,217,218,0
,217,219,0.013792013
,217,220,0
,217,221,0
,217,222,0
,223,223,0
,223,224,0
,223,225,0.013792013
,223,226,0
,223,227,0
,36,228,0.218589806
,36,229,0
,188,230,0.013792013
,188,231,0.049443849
,188,232,0.013792013
,188,233,0
,234,234,0
,234,235,0
,234,236,0
,234,237,0
,234,238,0
,160,239,0.16212356
,1,1,0
,3,3,0
,4,4,0
,5,5,0
,11,11,0
,13,13,0
,4,17,0
,4,19,0
,129,20,0
,160,21,0.937039347
,119,22,0
,23,23,0
,1,24,0
,1,25,0
,119,26,0
,1,27,0
,3,28,0.158634959
,3,29,0
,3,30,0
,3,31,0
,13,32,0
,13,33,0
,36,36,0
,177,37,0
,1,47,0
,13,51,0
,3,59,0
,4,65,0
,5,71,0.317269918
,217,75,0
,211,76,0
,23,83,0
,181,85,0.368338968
,1,86,0
,188,95,0
,119,119,0
,4,121,0
,36,122,0
,36,124,0.502860922
,119,126,0
,119,127,0
,129,129,0
,3,130,0
,4,136,0
,5,137,0
,160,138,0
,23,145,0
,23,146,0
,23,147,0
,13,152,0
,167,153,0
,129,154,0
,155,155,0
,129,156,0
,155,157,0
,155,158,0
,155,159,0
,160,160,0
,160,161,0
,160,162,0
,234,164,0
,167,167,0
,167,168,0
,167,169,0
,167,170,0
,4,171,0
,4,172,0.158634959
,4,173,0
,223,176,0
,177,177,0
,177,178,0
,177,179,0
,177,180,0.317269918
,181,181,0
,181,182,0.925300268
,181,183,0
,181,184,0
,11,185,0
,11,187,0
,188,188,0
,155,192,0
,3,193,0
,3,194,0
,167,195,0
,129,198,0
,129,199,0
,129,200,0
,36,201,0.158634959
,202,202,0
,202,203,1
,202,204,0.736677936
,202,205,0.568700379
,202,206,0.317269918
,36,207,0.251430461
,36,208,0
,36,209,0.475904877
,1,210,0
,211,211,0
,211,212,0
,211,213,0
,211,214,0
,211,215,0
,119,216,0
,217,217,0
,217,218,0
,217,219,0
,217,220,0
,217,221,0
,217,222,0
,223,223,0
,223,224,0
,223,225,0
,223,226,0
,223,227,0
,36,228,0
,36,229,0
,188,230,0
,188,231,0.603979592
,188,232,0
,188,233,0
,234,234,0
,234,235,0
,234,236,0
,234,237,0
,234,238,0
,160,239,0.158634959
,1,1,0
,3,3,0
,4,4,0
,5,5,0
,11,11,0
,13,13,0
,4,17,0
,4,19,0
,129,20,0
,160,21,0.566499227
,119,22,0
,23,23,0
,1,24,0
,1,25,0
,119,26,0
,1,27,0.182983503
,3,28,0
,3,29,0
,3,30,0
,3,31,0
,13,32,0
,13,33,0
,36,36,0
,177,37,0
